year,EcGDP,EcGDP2,UsGDP,UsGDP2,"Ec - Population ages 40-44, female (% of female population)","Ec - Population ages 35-39, male (% of male population)","Ec - Population ages 35-39, female (% of female population)","Ec - Population ages 30-34, male (% of male population)","Ec - Population ages 30-34, female (% of female population)","Ec - Population ages 25-29, male (% of male population)","Ec - Population ages 25-29, female (% of female population)","Ec - Population ages 20-24, male (% of male population)","Ec - Population ages 20-24, female (% of female population)","Ec - Population ages 15-19, male (% of male population)","Ec - Population ages 15-19, female (% of female population)","Ec - Population ages 10-14, male (% of male population)","Ec - Population ages 10-14, female (% of female population)","Ec - Population ages 05-09, male (% of male population)","Ec - Population ages 05-09, female (% of female population)"
1982,2369.950375,-62.83650056,14433.78773,26.22753392,4.267244967,5.005642786,5.022162226,6.244288631,6.240821547,8.07320391,8.045682025,9.391737978,9.302514143,11.01450002,10.8571706,12.60060524,12.41381224,13.89648303,13.68023539
1983,1988.787323,-68.81356785,15543.89372,28.24469969,4.325376733,4.96299755,4.982532671,6.486767546,6.491540141,8.072471538,8.046586075,9.431330163,9.33818191,11.0512754,10.89439397,12.53955901,12.3609313,13.73897103,13.51765356
1984,1912.431487,-70.01091363,17121.22548,31.11085813,4.367742834,4.969689365,4.992739422,6.698651419,6.710848833,8.072979383,8.046822542,9.477596619,9.380476141,11.07818343,10.92264391,12.46598078,12.29389693,13.57056108,13.34174487
1985,1891.560601,-70.3381927,18236.82773,33.13801109,4.385620025,5.047458241,5.0752019,6.848357792,6.865909286,8.095055104,8.06681438,9.527597811,9.426563602,11.08974755,10.93663675,12.3758819,12.20707914,13.40185902,13.16444838
1986,1648.015802,-74.15725031,19071.22719,34.65419249,4.378749871,5.180602822,5.215118892,6.938235891,6.961414805,8.118379906,8.090153636,9.565012886,9.465846028,11.06978852,10.92470774,12.26452705,12.09589712,13.2751008,13.02359653
1987,1464.493244,-77.03509136,20038.9411,36.4126186,4.347758122,5.375203798,5.417634594,6.978645078,7.005285904,8.154307103,8.124381722,9.609662916,9.511289925,11.04236005,10.90383829,12.14718497,11.97424286,13.16878882,12.89848922
1988,1337.889484,-79.02038135,21417.01193,38.91670139,4.320355491,5.594610446,5.645548214,6.98900762,7.017234949,8.200018388,8.167709157,9.654450351,9.556529605,11.00573256,10.87153694,12.02718016,11.84692151,13.07769725,12.78570879
1989,1390.213114,-78.19988772,22857.15443,41.53357418,4.336406722,5.787113937,5.846034,6.999226705,7.027898022,8.250671035,8.216304023,9.690552563,9.593541757,10.95786089,10.82516508,11.91286546,11.72280524,12.98936794,12.67660578
1990,1489.529509,-76.64249443,23888.60001,43.40780666,4.415530193,5.924776013,5.990258738,7.026588811,7.055102329,8.303372763,8.267550921,9.713601383,9.617972545,10.89844771,10.76437335,11.81142775,11.60870384,12.88775309,12.55959535
1991,1622.208243,-74.56194199,24342.2589,44.23214704,4.546354404,6.015626291,6.085270283,7.061804825,7.089074705,8.352997736,8.317000734,9.714946409,9.624690397,10.81662785,10.68229783,11.72281445,11.50220809,12.80004954,12.45737475
